cluster,n_reviews,dominant_emotion,emotion_distribution
0,9353,neutral,"{'neutral': 0.8155671976905806, 'joy': 0.12370362450550626, 'anger': 0.06072917780391318}"
1,1232,neutral,"{'neutral': 0.7954545454545454, 'joy': 0.1452922077922078, 'anger': 0.05925324675324675}"
